success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
1,80.8,264.0276350975,0.0801335444,9.7483341223
0,180.2,245.9877490997,0.2841815029,43.2395363264
0,180.2,245.9799399376,0.2469565412,40.4219857772
0,180.2,238.7680640221,0.2345043488,34.0192496636
0,180.2,247.9824030399,0.2304938383,43.1310561601
0,180.2,276.5794069767,0.1420759661,41.4136293969
1,150.4,260.6566100121,0.0843872647,11.3272839966
0,180.2,284.9839308262,0.1784680049,42.6260054369
0,180.2,263.0767099857,0.1559966184,33.0280746906
0,180.2,271.3985440731,0.1460998124,36.9712334759
0,180.2,268.3525009155,0.2510382983,46.6292211161
0,175.2,290.3978321552,0.2274109512,49.779852446
0,180.2,249.4190969467,0.2014291398,40.3589991756
0,180.2,243.875054121,0.2182381359,39.2197749043
0,180.2,242.6703810692,0.215966878,41.8794851894
0,180.2,263.5000128746,0.1472788673,36.6187544811
1,130.2,456.7116150856,0.0849338806,7.0444302221
1,98.6,166.4230229855,0.0368992748,10.0608924509
0,180.2,269.7199988365,0.149894189,41.7790635718
1,60.8,108.8279879093,0.0979775441,7.6862390682
0,116,214.769562006,0.2316929812,31.6691266135
0,180.2,240.5639610291,0.2242753983,41.8971761261
0,180.2,255.0683791637,0.1815017843,40.4153916313
0,180.2,243.7470929623,0.2145905759,41.4960100122
1,98.8,257.7808821201,0.0730479757,7.0756788133
0,69,116.5574500561,0.3987374497,34.9386373707
0,180.2,267.5247740746,0.2335513118,57.5489413851
0,180.2,248.9617509842,0.2175411298,43.1925451365
0,180.2,281.7015790939,0.1968365823,65.381201044
0,68.6,111.1638798714,0.4222995912,34.7747618908
0,180.2,240.7418768406,0.1360822962,39.4649840653
0,84.2,144.932669878,0.3662333909,37.3198705187
0,180.2,243.2573971748,0.2336968799,37.1905937593
0,180.2,255.8375408649,0.1629038621,36.0930076013
0,180.2,272.0945820808,0.2054123498,52.822123247
0,180.2,316.8618428707,0.123351625,48.5501847601
0,180.2,252.1797339916,0.1225072626,36.5600665406
0,180.2,245.2412040234,0.2477246249,43.5963214261
1,111.2,252.4076509476,0.0729461858,7.5266834828
0,180.2,249.6395719051,0.2030699947,41.8237997786
0,180.2,263.1784508228,0.2323254122,46.5280110829
0,180.2,242.5358181,0.2402580497,43.437813578
0,180.2,252.0586590767,0.2431558058,39.2616828881
0,180.2,264.3211688995,0.1161264568,39.4611212155
0,180.2,273.8361389637,0.2009338621,46.6768592255
0,180.2,246.061191082,0.1692475138,40.2731491176
0,180.2,248.8084020615,0.2293615053,45.944776175
0,180.2,260.202794075,0.2183391088,38.500945213
1,84.4,150.738407135,0.0642199882,8.8907324334
0,180.2,276.5188069344,0.1837281485,33.9813713535
